DATE,MCOILWTICO
2007-08-01,72.36
2007-09-01,79.92
2007-10-01,85.80
2007-11-01,94.77
2007-12-01,91.69
2008-01-01,92.97
2008-02-01,95.39
2008-03-01,105.45
2008-04-01,112.58
2008-05-01,125.40
2008-06-01,133.88
2008-07-01,133.37
2008-08-01,116.67
2008-09-01,104.11
2008-10-01,76.61
2008-11-01,57.31
2008-12-01,41.12
2009-01-01,41.71
2009-02-01,39.09
2009-03-01,47.94
2009-04-01,49.65
2009-05-01,59.03
2009-06-01,69.64
2009-07-01,64.15
2009-08-01,71.05
2009-09-01,69.41
2009-10-01,75.72
2009-11-01,77.99
2009-12-01,74.47
2010-01-01,78.33
2010-02-01,76.39
2010-03-01,81.20
2010-04-01,84.29
2010-05-01,73.74
2010-06-01,75.34
2010-07-01,76.32
2010-08-01,76.60
2010-09-01,75.24
2010-10-01,81.89
2010-11-01,84.25
2010-12-01,89.15
2011-01-01,89.17
2011-02-01,88.58
2011-03-01,102.86
2011-04-01,109.53
2011-05-01,100.90
2011-06-01,96.26
2011-07-01,97.30
2011-08-01,86.33
2011-09-01,85.52
2011-10-01,86.32
2011-11-01,97.16
2011-12-01,98.56
2012-01-01,100.27
2012-02-01,102.20
2012-03-01,106.16
2012-04-01,103.32
2012-05-01,94.66
2012-06-01,82.30
2012-07-01,87.90
2012-08-01,94.13
2012-09-01,94.51
2012-10-01,89.49
2012-11-01,86.53
2012-12-01,87.86
2013-01-01,94.76
2013-02-01,95.31
2013-03-01,92.94
2013-04-01,92.02
2013-05-01,94.51
2013-06-01,95.77
2013-07-01,104.67
2013-08-01,106.57
2013-09-01,106.29
2013-10-01,100.54
2013-11-01,93.86
2013-12-01,97.63
2014-01-01,94.62
2014-02-01,100.82
2014-03-01,100.80
2014-04-01,102.07
2014-05-01,102.18
2014-06-01,105.79
2014-07-01,103.59
2014-08-01,96.54
2014-09-01,93.21
2014-10-01,84.40
2014-11-01,75.79
2014-12-01,59.29
2015-01-01,47.22
2015-02-01,50.58
2015-03-01,47.82
2015-04-01,54.45
2015-05-01,59.27
2015-06-01,59.82
2015-07-01,50.90
2015-08-01,42.87
2015-09-01,45.48
2015-10-01,46.22
2015-11-01,42.44
2015-12-01,37.19
2016-01-01,31.68
2016-02-01,30.32
2016-03-01,37.55
2016-04-01,40.75
2016-05-01,46.71
2016-06-01,48.76
2016-07-01,44.65
2016-08-01,44.72
2016-09-01,45.18
2016-10-01,49.78
2016-11-01,45.66
2016-12-01,51.97
2017-01-01,52.50
2017-02-01,53.47
2017-03-01,49.33
2017-04-01,51.06
2017-05-01,48.48
2017-06-01,45.18
2017-07-01,46.63
2017-08-01,48.04
2017-09-01,49.82
2017-10-01,51.58
2017-11-01,56.64
2017-12-01,57.88
2018-01-01,63.7
2018-02-01,62.23
2018-03-01,62.73
2018-04-01,66.25
2018-05-01,69.98
2018-06-01,67.87
2018-07-01,70.98
2018-08-01,68.06
2018-09-01,70.23
2018-10-01,70.75
2018-11-01,56.96
2018-12-01,49.52
2019-01-01,51.38
2019-02-01,54.95
2019-03-01,58.15
2019-04-01,63.86
2019-05-01,60.83
2019-06-01,54.66
2019-07-01,57.35
2019-08-01,54.81
2019-09-01,56.95
2019-10-01,53.96
2019-11-01,57.03
